Hawk-Dove Simulation on 03-22 21-56-39
Iterations:;10000
Seed used:;9325390

iteration;agentOneScore;agentTwoScore
329;100;47
330;50;50
331;50;50
332;100;47
333;50;50
334;47;100
335;47;100
336;50;50
337;100;100
338;47;100
339;100;47
340;47;100
341;50;50
342;50;50
343;50;50
344;100;47
345;50;50
346;100;47
347;50;50
348;47;100
349;47;100
350;47;100
351;50;50
352;100;100
353;50;50
354;100;100
355;100;47
356;50;50
357;100;100
358;100;100
359;50;50
360;100;100
361;50;50
362;50;50
363;100;100
364;100;100
365;50;50
366;50;50
367;50;50
368;100;47
369;100;47
370;50;50
371;50;50
372;50;50
373;50;50
374;50;50
375;50;50
376;100;100
377;100;47
378;47;100
379;100;100
380;100;47
381;50;50
382;50;50
383;100;47
384;47;100
385;47;100
386;100;47
387;47;100
388;50;50
389;100;47
390;50;50
391;50;50
392;50;50
393;50;50
394;47;100
395;47;100
396;50;50
397;47;100
398;100;47
399;100;100
400;50;50
401;47;100
402;47;100
403;50;50
404;47;100
405;50;50
406;100;47
407;50;50
408;47;100
409;50;50
410;100;47
411;50;50
412;100;47
413;47;100
414;47;100
415;100;100
416;50;50
417;50;50
418;50;50
419;50;50
420;50;50
421;100;100
422;50;50
423;100;47
424;100;47
425;50;50
426;100;100
427;100;100
428;47;100
429;100;47
430;47;100
431;47;100
432;50;50
433;47;100
434;100;100
435;47;100
436;50;50
437;100;100
438;47;100
439;47;100
440;50;50
441;100;47
442;50;50
443;100;100
444;50;50
445;100;47
446;50;50
447;50;50
448;50;50
449;50;50
450;47;100
451;50;50
452;100;100
453;100;47
454;100;47
455;47;100
456;100;47
457;50;50
458;50;50
459;47;100
460;50;50
461;100;47
462;47;100
463;50;50
464;100;47
465;50;50
466;50;50
467;47;100
468;100;47
469;50;50
470;50;50
471;100;100
472;50;50
473;50;50
474;50;50
475;47;100
476;100;100
477;47;100
478;100;100
479;50;50
480;50;50
481;50;50
482;50;50
483;47;100
484;50;50
485;47;100
486;47;100
487;100;100
488;50;50
489;50;50
490;47;100
491;50;50
492;47;100
493;50;50
494;47;100
495;100;47
496;50;50
497;100;47
498;100;47
499;47;100
500;50;50
501;100;47
502;100;100
503;100;100
504;100;100
505;47;100
506;50;50
507;100;100
508;50;50
509;47;100
510;47;100
511;47;100
512;50;50
513;47;100
514;47;100
515;50;50
516;100;100
517;50;50
518;100;100
519;50;50
520;47;100
521;47;100
522;100;100
523;50;50
524;47;100
525;100;100
526;100;47
527;47;100
528;100;47
529;100;100
530;47;100
531;50;50
532;47;100
533;100;47
534;47;100
535;50;50
536;47;100
537;47;100
538;50;50
539;100;47
540;100;100
541;50;50
542;50;50
543;50;50
544;50;50
545;50;50
546;100;100
547;50;50
548;50;50
549;50;50
550;47;100
551;50;50
552;100;47
553;47;100
554;50;50
555;50;50
556;50;50
557;47;100
558;50;50
559;50;50
560;100;100
561;50;50
562;47;100
563;47;100
564;100;47
565;100;47
566;47;100
567;50;50
568;50;50
569;50;50
570;100;100
571;50;50
572;47;100
573;50;50
574;50;50
575;100;100
576;47;100
577;50;50
578;50;50
579;50;50
580;50;50
581;47;100
582;47;100
583;50;50
584;50;50
585;50;50
586;100;47
587;50;50
588;50;50
589;100;100
590;50;50
591;50;50
592;50;50
593;100;100
594;100;100
595;50;50
596;100;47
597;50;50
598;47;100
599;50;50
600;47;100
601;50;50
602;100;100
603;50;50
604;100;100
605;47;100
606;100;47
607;100;100
608;47;100
609;50;50
610;47;100
611;50;50
612;100;100
613;47;100
614;50;50
615;47;100
616;50;50
617;50;50
618;50;50
619;50;50
620;47;100
621;47;100
622;100;100
623;50;50
624;50;50
625;47;100
626;50;50
627;47;100
628;47;100
629;47;100
630;47;100
631;50;50
632;50;50
633;50;50
634;50;50
635;100;47
636;47;100
637;100;47
638;47;100
639;100;47
640;47;100
641;50;50
642;47;100
643;50;50
644;100;47
645;50;50
646;50;50
647;50;50
648;50;50
649;50;50
650;50;50
651;50;50
652;47;100
653;47;100
654;50;50
655;100;47
656;100;47
657;50;50
658;100;47
659;50;50
660;100;100
661;100;100
662;50;50
663;100;47
664;50;50
665;47;100
666;50;50
667;50;50
668;100;47
669;50;50
670;100;100
671;100;100
672;47;100
673;47;100
674;100;100
675;100;100
676;100;47
677;47;100
678;50;50
679;100;100
680;50;50
681;47;100
682;100;100
683;100;47
684;50;50
685;50;50
686;47;100
687;50;50
688;47;100
689;50;50
690;100;100
691;47;100
692;47;100
693;100;47
694;100;100
695;100;100
696;50;50
697;47;100
698;47;100
699;47;100
700;50;50
701;100;47
702;50;50
703;50;50
704;50;50
705;50;50
706;100;47
707;100;47
708;50;50
709;50;50
710;100;47
711;50;50
712;47;100
713;50;50
714;47;100
715;50;50
716;100;47
717;47;100
718;100;47
719;50;50
720;47;100
721;47;100
722;50;50
723;100;100
724;50;50
725;50;50
726;47;100
727;50;50
728;47;100
729;50;50
730;50;50
731;47;100
732;100;47
733;50;50
734;50;50
735;50;50
736;47;100
737;50;50
738;100;100
739;50;50
740;100;47
741;100;47
742;50;50
743;47;100
744;47;100
745;50;50
746;50;50
747;50;50
748;47;100
749;100;100
750;100;47
751;100;47
752;50;50
753;100;100
754;47;100
755;47;100
756;50;50
757;100;100
758;47;100
759;47;100
760;100;100
761;50;50
762;47;100
763;50;50
764;47;100
765;50;50
766;100;47
767;50;50
768;47;100
769;100;47
770;47;100
771;50;50
772;50;50
773;47;100
774;47;100
775;47;100
776;50;50
777;50;50
778;100;100
779;47;100
780;50;50
781;47;100
782;50;50
783;100;47
784;50;50
785;47;100
786;50;50
787;50;50
788;100;47
789;47;100
790;50;50
791;47;100
792;50;50
793;100;100
794;100;47
795;47;100
796;47;100
797;50;50
798;47;100
799;50;50
800;50;50
801;100;100
802;47;100
803;100;47
804;50;50
805;47;100
806;50;50
807;50;50
808;100;100
809;50;50
810;47;100
811;47;100
812;100;100
813;50;50
814;50;50
815;100;100
816;50;50
817;100;47
818;50;50
819;50;50
820;100;100
821;50;50
822;100;47
823;50;50
824;50;50
825;47;100
826;50;50
827;47;100
828;47;100
829;100;47
830;47;100
831;50;50
832;100;47
833;47;100
834;50;50
835;100;47
836;50;50
837;50;50
838;50;50
839;50;50
840;47;100
841;50;50
842;47;100
843;47;100
844;100;47
845;100;47
846;100;100
847;100;47
848;50;50
849;50;50
850;47;100
851;100;47
852;47;100
853;50;50
854;50;50
855;50;50
856;100;47
857;50;50
858;50;50
859;100;100
860;100;47
861;100;47
862;50;50
863;50;50
864;50;50
865;100;47
866;100;47
867;50;50
868;100;47
869;50;50
870;50;50
871;47;100
872;100;47
873;50;50
874;100;47
875;50;50
876;47;100
877;100;100
878;100;100
879;50;50
880;50;50
881;100;100
882;47;100
883;50;50
884;47;100
885;50;50
886;100;47
887;50;50
888;100;47
889;50;50
890;50;50
891;50;50
892;47;100
893;100;100
894;47;100
895;50;50
896;100;47
897;50;50
898;47;100
899;47;100
900;100;100
901;50;50
902;50;50
903;50;50
904;50;50
905;100;100
906;50;50
907;50;50
908;100;100
909;100;100
910;47;100
911;100;47
912;47;100
913;100;100
914;100;47
915;100;47
916;50;50
917;50;50
918;100;47
919;47;100
920;50;50
921;50;50
922;100;100
923;50;50
924;100;47
925;47;100
926;100;100
927;100;47
928;47;100
929;100;100
930;100;47
931;50;50
932;100;47
933;50;50
934;50;50
935;50;50
936;50;50
937;47;100
938;47;100
939;50;50
940;50;50
941;100;100
942;100;100
943;47;100
944;47;100
945;100;47
946;50;50
947;100;47
948;50;50
949;50;50
950;50;50
951;47;100
952;100;100
953;47;100
954;50;50
955;50;50
956;50;50
957;100;47
958;50;50
959;47;100
960;50;50
961;100;47
962;50;50
963;100;47
964;50;50
965;100;47
966;50;50
967;100;100
968;50;50
969;50;50
970;50;50
971;50;50
972;100;47
973;100;47
974;50;50
975;100;47
976;47;100
977;50;50
978;47;100
979;50;50
980;50;50
981;100;47
982;47;100
983;47;100
984;100;100
985;50;50
986;50;50
987;47;100
988;100;47
989;50;50
990;47;100
991;50;50
992;50;50
993;47;100
994;50;50
995;50;50
996;100;47
997;100;47
998;50;50
999;47;100
1000;100;47
1001;47;100
1002;50;50
1003;100;47
1004;50;50
1005;47;100
1006;50;50
1007;50;50
1008;100;47
1009;50;50
1010;47;100
1011;50;50
1012;47;100
1013;47;100
1014;47;100
1015;47;100
1016;47;100
1017;50;50
1018;47;100
1019;47;100
1020;50;50
1021;47;100
1022;100;100
1023;50;50
1024;50;50
1025;50;50
1026;47;100
1027;50;50
1028;47;100
1029;47;100
1030;50;50
1031;50;50
1032;47;100
1033;50;50
1034;47;100
1035;47;100
1036;50;50
1037;100;47
1038;50;50
1039;47;100
1040;47;100
1041;50;50
1042;47;100
1043;100;47
1044;47;100
1045;100;47
1046;50;50
1047;100;47
1048;100;47
1049;100;47
1050;50;50
1051;50;50
1052;50;50
1053;47;100
1054;50;50
1055;100;47
1056;47;100
1057;50;50
1058;50;50
1059;50;50
1060;100;47
1061;100;47
1062;47;100
1063;47;100
1064;50;50
1065;47;100
1066;50;50
1067;50;50
1068;47;100
1069;100;100
1070;100;100
1071;50;50
1072;47;100
1073;100;100
1074;50;50
1075;100;47
1076;47;100
1077;50;50
1078;47;100
1079;47;100
1080;50;50
1081;50;50
1082;47;100
1083;50;50
1084;50;50
1085;50;50
1086;50;50
1087;50;50
1088;100;100
1089;50;50
1090;100;100
1091;47;100
1092;100;100
1093;47;100
1094;100;47
1095;47;100
1096;50;50
1097;100;47
1098;47;100
1099;100;47
1100;50;50
1101;47;100
1102;100;47
1103;100;47
1104;50;50
1105;47;100
1106;50;50
1107;100;47
1108;100;100
1109;100;47
1110;50;50
1111;47;100
1112;100;100
1113;47;100
1114;47;100
1115;47;100
1116;50;50
1117;50;50
1118;47;100
1119;100;47
1120;50;50
1121;47;100
1122;47;100
1123;50;50
1124;50;50
1125;50;50
1126;50;50
1127;47;100
1128;100;100
1129;100;47
1130;50;50
1131;50;50
1132;50;50
1133;50;50
1134;100;47
1135;47;100
1136;50;50
1137;47;100
1138;100;100
1139;100;47
1140;50;50
1141;47;100
1142;47;100
1143;100;47
1144;50;50
1145;50;50
1146;50;50
1147;50;50
1148;50;50
1149;50;50
1150;50;50
1151;50;50
1152;47;100
1153;47;100
1154;50;50
1155;47;100
1156;100;100
1157;100;100
1158;50;50
1159;100;47
1160;100;47
1161;100;100
1162;47;100
1163;100;47
1164;100;47
1165;50;50
1166;50;50
1167;47;100
1168;47;100
1169;47;100
1170;47;100
1171;100;47
1172;100;100
1173;50;50
1174;47;100
1175;47;100
1176;50;50
1177;100;47
1178;50;50
1179;50;50
1180;100;100
1181;50;50
1182;47;100
1183;47;100
1184;50;50
1185;47;100
1186;50;50
1187;100;100
1188;47;100
1189;100;47
1190;50;50
1191;100;100
1192;100;100
1193;50;50
1194;47;100
1195;50;50
1196;50;50
1197;100;100
1198;47;100
1199;50;50
1200;47;100
1201;50;50
1202;47;100
1203;100;47
1204;47;100
1205;47;100
1206;50;50
1207;47;100
1208;50;50
1209;47;100
1210;50;50
1211;50;50
1212;100;47
1213;50;50
1214;47;100
1215;47;100
1216;47;100
1217;100;100
1218;100;47
1219;47;100
1220;47;100
1221;50;50
1222;100;47
1223;100;47
1224;47;100
1225;50;50
1226;47;100
1227;100;100
1228;50;50
1229;50;50
1230;47;100
1231;47;100
1232;50;50
1233;100;100
1234;47;100
1235;100;47
1236;50;50
1237;100;47
1238;100;100
1239;50;50
1240;50;50
1241;50;50
1242;50;50
1243;50;50
1244;100;47
1245;47;100
1246;100;47
1247;50;50
1248;47;100
1249;100;47
1250;47;100
1251;100;47
1252;50;50
1253;47;100
1254;50;50
1255;47;100
1256;100;47
1257;100;100
1258;50;50
1259;47;100
1260;50;50
1261;50;50
1262;47;100
1263;50;50
1264;50;50
1265;47;100
1266;50;50
1267;100;47
1268;50;50
1269;47;100
1270;50;50
1271;47;100
1272;100;100
1273;47;100
1274;47;100
1275;50;50
1276;100;47
1277;50;50
1278;100;47
1279;100;47
1280;50;50
1281;100;100
1282;100;47
1283;47;100
1284;47;100
1285;47;100
1286;100;47
1287;47;100
1288;50;50
1289;47;100
1290;100;100
1291;100;47
1292;50;50
1293;100;100
1294;100;100
1295;47;100
1296;47;100
1297;50;50
1298;50;50
1299;47;100
1300;100;47
1301;47;100
1302;50;50
1303;50;50
1304;100;47
1305;100;47
1306;50;50
1307;47;100
1308;50;50
1309;47;100
1310;47;100
1311;50;50
1312;100;100
1313;47;100
1314;50;50
1315;47;100
1316;100;100
1317;100;47
1318;47;100
1319;47;100
1320;50;50
1321;100;100
1322;100;47
1323;100;47
1324;50;50
1325;47;100
1326;100;100
1327;50;50
1328;100;47
1329;100;47
1330;50;50
1331;47;100
1332;50;50
1333;50;50
1334;50;50
1335;50;50
1336;50;50
1337;47;100
1338;100;47
1339;100;47
1340;100;47
1341;50;50
1342;100;47
1343;100;47
1344;47;100
1345;50;50
1346;47;100
1347;50;50
1348;50;50
1349;47;100
1350;50;50
1351;50;50
1352;47;100
1353;50;50
1354;47;100
1355;47;100
1356;50;50
1357;50;50
1358;50;50
1359;47;100
1360;47;100
1361;50;50
1362;100;47
1363;47;100
1364;50;50
1365;50;50
1366;50;50
1367;50;50
1368;50;50
1369;47;100
1370;100;47
1371;100;47
1372;47;100
1373;100;47
1374;50;50
1375;100;47
1376;47;100
1377;50;50
1378;50;50
1379;50;50
1380;47;100
1381;50;50
1382;47;100
1383;50;50
1384;50;50
1385;47;100
1386;50;50
1387;100;100
1388;50;50
1389;50;50
1390;47;100
1391;47;100
1392;50;50
1393;50;50
1394;47;100
1395;47;100
1396;100;47
1397;47;100
1398;50;50
1399;50;50
1400;47;100
1401;50;50
1402;50;50
1403;100;100
1404;47;100
1405;47;100
1406;50;50
1407;50;50
1408;50;50
1409;50;50
1410;47;100
1411;50;50
1412;47;100
1413;100;100
1414;100;100
1415;100;47
1416;47;100
1417;47;100
1418;50;50
1419;50;50
1420;50;50
1421;47;100
1422;50;50
1423;47;100
1424;100;100
1425;47;100
1426;47;100
1427;50;50
1428;47;100
1429;47;100
1430;47;100
1431;50;50
1432;100;100
1433;50;50
1434;47;100
1435;100;47
1436;100;47
1437;100;47
1438;100;47
1439;100;100
1440;50;50
1441;47;100
1442;50;50
1443;47;100
1444;100;100
1445;47;100
1446;50;50
1447;100;47
1448;47;100
1449;47;100
1450;100;47
1451;100;100
1452;50;50
1453;100;47
1454;47;100
1455;47;100
1456;100;47
1457;100;47
1458;100;47
1459;47;100
1460;47;100
1461;100;47
1462;47;100
1463;100;47
1464;50;50
1465;100;47
1466;47;100
1467;100;100
1468;50;50
1469;100;100
1470;47;100
1471;47;100
1472;50;50
1473;50;50
1474;47;100
1475;100;47
1476;50;50
1477;50;50
1478;47;100
1479;50;50
1480;100;47
1481;47;100
1482;50;50
1483;47;100
1484;47;100
1485;100;100
1486;50;50
1487;47;100
1488;50;50
1489;100;47
1490;47;100
1491;100;47
1492;47;100
1493;100;47
1494;47;100
1495;50;50
1496;100;47
1497;100;100
1498;47;100
1499;50;50
1500;50;50
1501;100;100
1502;100;47
1503;47;100
1504;50;50
1505;100;47
1506;50;50
1507;100;47
1508;47;100
1509;50;50
1510;47;100
1511;50;50
1512;50;50
1513;100;47
1514;47;100
1515;47;100
1516;47;100
1517;50;50
1518;100;47
1519;50;50
1520;47;100
1521;100;100
1522;100;47
1523;100;100
1524;47;100
1525;47;100
1526;50;50
1527;50;50
1528;50;50
1529;50;50
1530;50;50
1531;47;100
1532;50;50
1533;47;100
1534;50;50
1535;50;50
1536;50;50
1537;47;100
1538;100;47
1539;47;100
1540;50;50
1541;47;100
1542;47;100
1543;50;50
1544;47;100
1545;100;47
1546;100;47
1547;100;100
1548;100;47
1549;100;47
1550;100;47
1551;50;50
1552;47;100
1553;50;50
1554;100;100
1555;50;50
1556;50;50
1557;100;47
1558;50;50
1559;50;50
1560;100;47
1561;50;50
1562;47;100
1563;100;100
1564;100;47
1565;100;100
1566;100;47
1567;50;50
1568;50;50
1569;47;100
1570;50;50
1571;100;47
1572;47;100
1573;100;47
1574;47;100
1575;50;50
1576;100;47
1577;100;100
1578;100;47
1579;47;100
1580;100;100
1581;100;47
1582;50;50
1583;50;50
1584;50;50
1585;50;50
1586;100;47
1587;47;100
1588;47;100
1589;50;50
1590;100;47
1591;50;50
1592;100;47
1593;50;50
1594;50;50
1595;100;47
1596;47;100
1597;50;50
1598;50;50
1599;47;100
1600;50;50
1601;50;50
1602;50;50
1603;47;100
1604;50;50
1605;47;100
1606;100;100
1607;100;47
1608;100;100
1609;47;100
1610;50;50
1611;47;100
1612;47;100
1613;50;50
1614;50;50
1615;47;100
1616;50;50
1617;100;47
1618;50;50
1619;47;100
1620;100;47
1621;50;50
1622;47;100
1623;50;50
1624;100;47
1625;100;47
1626;100;100
1627;50;50
1628;50;50
1629;50;50
1630;100;47
1631;47;100
1632;50;50
1633;50;50
1634;100;47
1635;50;50
1636;47;100
1637;100;100
1638;47;100
1639;50;50
1640;47;100
1641;47;100
1642;100;100
1643;50;50
1644;50;50
1645;50;50
1646;47;100
1647;100;47
1648;47;100
1649;100;100
1650;47;100
1651;50;50
1652;47;100
1653;100;47
1654;50;50
1655;100;47
1656;50;50
1657;50;50
1658;47;100
1659;50;50
1660;50;50
1661;50;50
1662;50;50
1663;47;100
1664;100;47
1665;100;100
1666;47;100
1667;50;50
1668;47;100
1669;50;50
1670;47;100
1671;47;100
1672;100;47
1673;47;100
1674;47;100
1675;50;50
1676;50;50
1677;50;50
1678;50;50
1679;47;100
1680;50;50
1681;50;50
1682;47;100
1683;100;100
1684;50;50
1685;100;47
1686;50;50
1687;50;50
1688;100;100
1689;50;50
1690;47;100
1691;47;100
1692;47;100
1693;50;50
1694;50;50
1695;50;50
1696;100;100
1697;100;100
1698;47;100
1699;47;100
1700;47;100
1701;50;50
1702;47;100
1703;50;50
1704;50;50
1705;47;100
1706;50;50
1707;50;50
1708;100;100
1709;47;100
1710;47;100
1711;50;50
1712;100;100
1713;50;50
1714;47;100
1715;47;100
1716;47;100
1717;100;100
1718;100;47
1719;100;47
1720;50;50
1721;50;50
1722;100;47
1723;47;100
1724;50;50
1725;100;100
1726;50;50
1727;50;50
1728;50;50
1729;50;50
1730;47;100
1731;47;100
1732;100;47
1733;47;100
1734;47;100
1735;47;100
1736;100;100
1737;50;50
1738;50;50
1739;50;50
1740;47;100
1741;47;100
1742;100;47
1743;47;100
1744;50;50
1745;50;50
1746;100;47
1747;100;100
1748;50;50
1749;50;50
1750;47;100
1751;47;100
1752;100;47
1753;100;47
1754;50;50
1755;100;47
1756;100;100
1757;47;100
1758;50;50
1759;100;47
1760;100;47
1761;100;100
1762;47;100
1763;100;100
1764;50;50
1765;100;47
1766;100;47
1767;50;50
1768;47;100
1769;100;100
1770;47;100
1771;47;100
1772;47;100
1773;100;47
1774;100;100
1775;47;100
1776;47;100
1777;47;100
1778;100;100
1779;50;50
1780;50;50
1781;47;100
1782;100;100
1783;47;100
1784;47;100
1785;47;100
1786;50;50
1787;100;100
1788;100;47
1789;47;100
1790;47;100
1791;100;47
1792;100;100
1793;50;50
1794;100;47
1795;50;50
1796;47;100
1797;50;50
1798;47;100
1799;100;100
1800;100;47
1801;47;100
1802;47;100
1803;50;50
1804;100;47
1805;100;100
1806;50;50
1807;100;100
1808;47;100
1809;100;100
1810;47;100
1811;100;47
1812;50;50
1813;47;100
1814;50;50
1815;50;50
1816;50;50
1817;100;100
1818;47;100
1819;50;50
1820;50;50
1821;50;50
1822;47;100
1823;100;47
1824;100;47
1825;100;100
1826;100;100
1827;100;47
1828;50;50
1829;50;50
1830;100;47
1831;50;50
1832;47;100
1833;50;50
1834;47;100
1835;50;50
1836;100;100
1837;50;50
1838;47;100
1839;100;47
1840;47;100
1841;50;50
1842;50;50
1843;50;50
1844;50;50
1845;50;50
1846;50;50
1847;47;100
1848;47;100
1849;100;100
1850;47;100
1851;47;100
1852;50;50
1853;47;100
1854;50;50
1855;100;100
1856;47;100
1857;100;47
1858;50;50
1859;100;100
1860;50;50
1861;100;100
1862;50;50
1863;100;100
1864;47;100
1865;100;100
1866;100;47
1867;50;50
1868;50;50
1869;47;100
1870;47;100
1871;100;47
1872;50;50
1873;100;47
1874;50;50
1875;50;50
1876;50;50
1877;47;100
1878;100;100
1879;100;47
1880;50;50
1881;47;100
1882;50;50
1883;100;47
1884;50;50
1885;50;50
1886;47;100
1887;47;100
1888;100;100
1889;50;50
1890;50;50
1891;50;50
1892;47;100
1893;47;100
1894;100;47
1895;47;100
1896;50;50
1897;50;50
1898;47;100
1899;100;47
1900;47;100
1901;100;47
1902;50;50
1903;100;47
1904;47;100
1905;50;50
1906;50;50
1907;50;50
1908;100;100
1909;50;50
1910;100;47
1911;50;50
1912;47;100
1913;50;50
1914;50;50
1915;47;100
1916;100;100
1917;50;50
1918;50;50
1919;50;50
1920;50;50
1921;50;50
1922;50;50
1923;47;100
1924;100;47
1925;50;50
1926;50;50
1927;47;100
1928;47;100
1929;47;100
1930;47;100
1931;100;47
1932;50;50
1933;47;100
1934;50;50
1935;47;100
1936;47;100
1937;47;100
1938;50;50
1939;50;50
1940;100;47
1941;50;50
1942;50;50
1943;47;100
1944;50;50
1945;50;50
1946;100;100
1947;50;50
1948;47;100
1949;50;50
1950;50;50
1951;47;100
1952;100;47
1953;50;50
1954;100;100
1955;50;50
1956;100;47
1957;100;100
1958;47;100
1959;100;100
1960;50;50
1961;50;50
1962;50;50
1963;100;47
1964;47;100
1965;50;50
1966;50;50
1967;100;47
1968;100;47
1969;47;100
1970;50;50
1971;100;100
1972;50;50
1973;50;50
1974;100;47
1975;50;50
1976;50;50
1977;100;100
1978;100;47
1979;50;50
1980;47;100
1981;100;47
1982;50;50
1983;100;100
1984;100;47
1985;100;100
1986;47;100
1987;50;50
1988;47;100
1989;50;50
1990;47;100
1991;50;50
1992;50;50
1993;50;50
1994;47;100
1995;100;100
1996;50;50
1997;50;50
1998;47;100
1999;50;50
2000;50;50
2001;50;50
2002;50;50
2003;50;50
2004;100;47
2005;50;50
2006;50;50
2007;100;100
2008;50;50
2009;47;100
2010;47;100
2011;47;100
2012;50;50
2013;50;50
2014;50;50
2015;47;100
2016;50;50
2017;100;100
2018;47;100
2019;50;50
2020;100;100
2021;50;50
2022;47;100
2023;50;50
2024;47;100
2025;47;100
2026;47;100
2027;100;100
2028;50;50
2029;100;47
2030;100;47
2031;100;100
2032;50;50
2033;100;47
2034;47;100
2035;50;50
2036;50;50
2037;50;50
2038;47;100
2039;47;100
2040;50;50
2041;100;100
2042;100;100
2043;100;47
2044;47;100
2045;50;50
2046;100;47
2047;47;100
2048;50;50
2049;100;47
2050;100;100
2051;50;50
2052;47;100
2053;50;50
2054;50;50
2055;50;50
2056;100;47
2057;100;47
2058;50;50
2059;100;47
2060;50;50
2061;50;50
2062;50;50
2063;50;50
2064;50;50
2065;50;50
2066;100;100
2067;50;50
2068;100;47
2069;50;50
2070;50;50
2071;100;47
2072;100;47
2073;47;100
2074;47;100
2075;50;50
2076;50;50
2077;50;50
2078;50;50
2079;100;47
2080;47;100
2081;50;50
2082;47;100
2083;47;100
2084;50;50
2085;47;100
2086;100;47
2087;47;100
2088;50;50
2089;50;50
2090;50;50
2091;50;50
2092;47;100
2093;50;50
2094;100;47
2095;47;100
2096;47;100
2097;100;100
2098;50;50
2099;100;100
2100;50;50
2101;100;100
2102;47;100
2103;50;50
2104;50;50
2105;47;100
2106;47;100
2107;47;100
2108;47;100
2109;100;47
2110;50;50
2111;47;100
2112;47;100
2113;50;50
2114;50;50
2115;47;100
2116;47;100
2117;47;100
2118;50;50
2119;47;100
2120;50;50
2121;47;100
2122;50;50
2123;47;100
2124;50;50
