Hawk-Dove Simulation on 03-22 21-56-39
Iterations:;10000
Seed used:;9325390

iteration;agentOneScore;agentTwoScore
0;50;50
1;47;100
2;50;50
3;47;100
4;47;100
5;47;100
6;50;50
7;50;50
8;100;47
9;50;50
10;47;100
11;50;50
12;100;47
13;50;50
14;47;100
15;50;50
16;100;100
17;50;50
18;50;50
19;100;100
20;47;100
21;100;47
22;100;47
23;47;100
24;100;100
25;47;100
26;100;100
27;47;100
28;100;47
29;50;50
30;50;50
31;47;100
32;50;50
33;100;47
34;100;47
35;50;50
36;50;50
37;100;100
38;100;47
39;50;50
40;50;50
41;47;100
42;100;100
43;50;50
44;47;100
45;50;50
46;47;100
47;100;47
48;47;100
49;100;100
50;50;50
51;47;100
52;50;50
53;50;50
54;100;47
55;100;100
56;100;100
57;50;50
58;47;100
59;100;100
60;100;100
61;100;100
62;47;100
63;47;100
64;100;47
65;50;50
66;50;50
67;50;50
68;47;100
69;47;100
70;47;100
71;50;50
72;47;100
73;47;100
74;50;50
75;47;100
76;100;100
77;47;100
78;50;50
79;50;50
80;100;47
81;100;47
82;47;100
83;50;50
84;47;100
85;50;50
86;50;50
87;50;50
88;50;50
89;100;47
90;50;50
91;50;50
92;47;100
93;50;50
94;50;50
95;100;100
96;47;100
97;100;47
98;50;50
99;100;47
100;50;50
101;47;100
102;100;47
103;47;100
104;50;50
105;50;50
106;47;100
107;50;50
108;100;47
109;47;100
110;47;100
111;50;50
112;100;47
113;100;47
114;50;50
115;50;50
116;50;50
117;50;50
118;50;50
119;50;50
120;50;50
121;50;50
122;100;100
123;50;50
124;100;47
125;47;100
126;100;47
127;47;100
128;47;100
129;50;50
130;100;100
131;50;50
132;50;50
133;50;50
134;100;100
135;100;47
136;47;100
137;50;50
138;100;100
139;50;50
140;100;47
141;100;100
142;50;50
143;50;50
144;50;50
145;100;47
146;50;50
147;100;47
148;100;100
149;47;100
150;50;50
151;100;100
152;50;50
153;50;50
154;100;100
155;100;47
156;47;100
157;50;50
158;47;100
159;47;100
160;47;100
161;100;47
162;100;47
163;100;47
164;100;100
165;50;50
166;100;100
167;50;50
168;47;100
169;50;50
170;100;47
171;50;50
172;47;100
173;100;47
174;50;50
175;50;50
176;50;50
177;50;50
178;50;50
179;100;47
180;47;100
181;50;50
182;100;100
183;47;100
184;100;47
185;50;50
186;47;100
187;100;100
188;50;50
189;100;47
190;50;50
191;100;100
192;47;100
193;50;50
194;47;100
195;100;47
196;50;50
197;50;50
198;50;50
199;100;47
200;47;100
201;50;50
202;50;50
203;47;100
204;47;100
205;100;47
206;50;50
207;47;100
208;50;50
209;47;100
210;47;100
211;100;100
212;50;50
213;50;50
214;47;100
215;100;47
216;50;50
217;50;50
218;100;100
219;47;100
220;100;100
221;50;50
222;50;50
223;50;50
224;47;100
225;47;100
226;47;100
227;50;50
228;47;100
229;100;47
230;100;100
231;50;50
232;100;100
233;100;100
234;50;50
235;50;50
236;50;50
237;100;100
238;50;50
239;100;47
240;47;100
241;47;100
242;100;47
243;100;100
244;50;50
245;50;50
246;100;100
247;47;100
248;47;100
249;50;50
250;47;100
251;100;47
252;47;100
253;50;50
254;50;50
255;100;47
256;100;100
257;50;50
258;47;100
259;47;100
260;50;50
261;47;100
262;100;100
263;47;100
264;47;100
265;47;100
266;50;50
267;47;100
268;100;47
269;50;50
270;100;100
271;50;50
272;100;100
273;50;50
274;47;100
275;47;100
276;50;50
277;100;47
278;47;100
279;47;100
280;50;50
281;100;47
282;100;100
283;50;50
284;100;100
285;50;50
286;50;50
287;100;100
288;100;47
289;47;100
290;50;50
291;100;47
292;47;100
293;100;100
294;50;50
295;47;100
296;50;50
297;47;100
298;50;50
299;47;100
300;50;50
301;50;50
302;50;50
303;50;50
304;50;50
305;47;100
306;100;100
307;50;50
308;47;100
309;50;50
310;50;50
311;100;100
312;50;50
313;47;100
314;50;50
315;50;50
316;50;50
317;50;50
318;100;47
319;47;100
320;50;50
321;50;50
322;100;100
323;47;100
324;47;100
325;50;50
326;47;100
327;50;50
328;47;100
