Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.7535,0.84026635,0.50585437
0.711,0.45966655,0.030161873
0.014,6.627245E-05,0.22755066
0.828,0.84093976,0.35643575
0.339,0.35895988,0.28521603
-0.448,0.116723046,0.55453795
-0.7395,0.20222588,0.83484495
-0.0025,0.45777458,0.6540047
-0.5095,0.26468223,0.7769429
0.836,0.8491397,0.36344588
0.8475,0.94263965,0.89202744
-0.6755,0.26132214,0.8407412
0.523,0.5129151,0.18844546
0.544,0.110819556,0.009586943
0.8455,0.74612314,0.09733767
0.88,0.9268839,0.68449146
0.502,0.5998226,0.33147502
-1.3275,0.06276729,0.9873036
0.3775,0.3212061,0.20437585
-0.2435,0.5079963,0.99768484
0.4915,0.6765797,0.5559324
0.857,0.8546774,0.2484138
0.538,0.6139764,0.35021716
-0.0405,0.25134137,0.43541408
0.74,0.81023496,0.42666256
0.2615,0.29814038,0.24798402
-0.449,0.16306844,0.6078195
0.4715,0.56762487,0.36085242
-1.151,0.055704996,0.87761444
0.1225,0.062741324,0.23167813
0.3765,0.37740025,0.293107
-0.0775,0.19232526,0.4240294
0.154,0.59150606,0.78902495
0.435,0.31026193,0.16728984
0.5225,0.8091631,0.96817
0.01,0.1681737,0.34230608
0.5105,0.6233596,0.46085292
0.7125,0.8693538,0.76248914
0.4365,0.65030986,0.5146016
0.557,0.5199296,0.228575
0.816,0.82213557,0.2868014
-0.0405,0.55642086,0.9704328
0.8275,0.81599617,0.21200477
0.159,0.2605467,0.3472224
0.6685,0.7850286,0.59594285
0.558,0.703085,0.49336854
-0.656,0.30068263,0.9693122
0.8755,0.93535054,0.5862867
0.669,0.8271064,0.77121013
-0.032,0.48898938,0.7095042
0.2875,0.3405563,0.31188938
0.6925,0.8151243,0.6003882
-0.6785,0.2955633,0.9767768
0.812,0.7589879,0.13075662
-0.105,0.50807416,0.8490956
0.5145,0.57495606,0.31529155
0.48,0.6300011,0.47364715
0.9865,0.9798387,0.12959076
-0.1545,0.47010127,0.8842725
0.543,0.71491605,0.6415807
0.3695,0.74963593,0.92835134
-0.345,0.4532384,0.961289
0.6305,0.28186843,0.013650476
0.863,0.8194268,0.136341
-1.039,0.046194393,0.79210716
0.06,0.5955581,0.90303147
0.4645,0.6413672,0.50796044
-0.296,0.46514788,0.950124
0.526,0.07953845,0.008940733
-0.472,0.07788345,0.56414706
0.4595,0.12289178,0.06420317
0.2925,0.6729037,0.90777934
-0.2735,0.024305642,0.3826136
0.5725,0.712563,0.4639906
0.1935,0.59680307,0.7364771
-0.5895,0.17584035,0.7170353
0.2255,0.6634038,0.99019736
0.806,0.79237354,0.24014947
0.5525,0.7873013,0.82207304
0.634,0.4947827,0.09990184
0.8345,0.90976286,0.8822169
0.8685,0.9228741,0.7224076
0.6435,0.45658046,0.076243006
0.5065,0.14566834,0.036448043
-0.869,0.18330522,0.906656
0.4685,0.1879172,0.083570525
-0.4075,0.095446676,0.53443617
0.6945,0.52263886,0.052478943
0.9955,0.9973833,0.29536253
0.5605,0.657988,0.4815172
0.6295,0.3032339,0.017140618
0.1395,0.048402134,0.19253628
0.7075,0.8562301,0.82441324
0.5275,0.6446379,0.4188398
-0.1555,0.18295252,0.44909373
0.3985,0.25138566,0.14902568
0.395,0.66271734,0.6736275
0.2745,0.26977643,0.23869571
0.595,0.81375194,0.74764675
0.454,0.6626625,0.4966327
0.856,0.84494066,0.29447028
0.4945,0.654058,0.5007294
-1.2005,0.0013824496,0.8359322
0.877,0.8980557,0.4155835
0.765,0.7279052,0.23067452
-1.115,0.057136424,0.89358467
0.54,0.59450483,0.31893227
-0.5835,0.081692606,0.5966073
0.693,0.74423736,0.33012447
0.7225,0.7074684,0.23625268
-0.139,0.298863,0.58821535
-0.41,0.21647634,0.65519273
0.79,0.70278394,0.08196974
-0.2805,0.2843925,0.629745
-0.8975,0.1771121,0.89705783
0.608,0.81086713,0.83264464
0.1155,0.5353269,0.65058196
0.3825,0.36923775,0.24187914
0.7215,0.7256616,0.2880509
-0.1595,0.12079821,0.37943333
0.8535,0.85135424,0.29003716
0.1235,0.36157104,0.41225457
-0.01,0.15290122,0.31481794
0.637,0.71695215,0.45562604
0.676,0.45720068,0.029178329
0.772,0.821107,0.36079147
0.9535,0.978338,0.71117127
-0.8225,0.058619726,0.7312953
0.699,0.68885314,0.265989
0.539,0.12768371,0.017353477
0.936,0.9545463,0.5556068
0.4945,0.28381786,0.097504005
0.4,0.3113054,0.20951605
0.381,0.69167066,0.7146417
0.1235,0.004061501,0.18684821
0.931,0.9705124,0.7528421
-0.567,0.05309658,0.58964896
-0.698,0.15910292,0.7510559
0.2105,0.33561125,0.3838579
0.505,0.4188255,0.14989416
-0.1105,0.28424528,0.5070083
-0.128,0.49820414,0.8449239
0.392,0.40402657,0.27103093
0.44,0.7655876,0.8881345
0.8515,0.85127395,0.34603688
0.2655,0.1259117,0.1726202
0.772,0.6324748,0.083105735
0.491,0.66259104,0.49282113
0.1665,0.6600512,0.96243
0.8405,0.7841089,0.1548231
0.526,0.81714976,0.997489
0.552,0.6223758,0.35880554
0.284,0.572389,0.601679
-0.075,0.37488315,0.6191918
0.943,0.90566236,0.086819924
0.618,0.65471065,0.38142955
0.3295,0.69747996,0.8131409
-0.644,0.3132785,0.938004
0.526,0.7589715,0.5836367
-0.446,0.2136319,0.64046353
-0.299,0.10715066,0.46015048
0.776,0.8876953,0.6180904
0.775,0.8602301,0.6662066
0.7515,0.90937984,0.90551287
0.519,0.0586491,0.0068204957
0.695,0.8574917,0.7775612
0.7385,0.83901054,0.5043822
-0.926,0.17619255,0.90468806
0.545,0.5457615,0.26063067
0.512,0.28284883,0.08088549
0.8245,0.7922534,0.15776503
0.514,0.7657422,0.82846427
0.6705,0.7014803,0.3371515
-0.7405,0.26906112,0.9710978
-0.3505,0.18118294,0.59643424
0.728,0.5926468,0.09223033
0.108,0.6502232,0.9843607
0.4305,0.4455991,0.2609955
0.154,0.095722355,0.21019359
-0.1945,0.37434572,0.6642254
0.3165,0.50246286,0.48523057
-0.1595,0.2525998,0.52898395
-0.354,0.27185896,0.69344705
0.8325,0.6820526,0.00095857214
0.7335,0.82980055,0.51350164
0.9785,0.9768958,0.6636589
0.742,0.8330031,0.54587847
0.9425,0.9039417,0.0673517
0.833,0.9067335,0.7076482
0.7415,0.6012739,0.06442439
-0.5655,0.32919002,0.8903142
0.9575,0.97694045,0.64119816
0.017,0.27391702,0.41380692
0.145,0.63366157,0.9195319
0.4505,0.26360285,0.12327081
