Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.669,0.4434966,0.05183819
-1.2495,0.09391492,0.9945257
0.6445,0.8030023,0.7580753
0.579,0.769952,0.7246751
0.3095,0.63136107,0.6873922
0.7695,0.82100725,0.27519003
0.0345,0.40583187,0.5343852
0.163,0.20520888,0.26716056
-0.4015,0.31108662,0.775617
0.504,0.62769127,0.51362586
0.324,0.52814823,0.44159132
0.4845,0.31175235,0.13913831
-0.452,0.25272265,0.6911215
0.087,0.25505438,0.35076913
0.72,0.7542831,0.29877242
0.599,0.31655335,0.035338737
0.9275,0.92053914,0.18883622
0.6415,0.83523196,0.83763266
0.7465,0.688576,0.12882355
0.2795,0.27013242,0.26448175
0.12,0.30747268,0.38556045
-0.7165,0.18494453,0.7832769
0.0715,0.4674339,0.6616593
0.67,0.8670167,0.9195716
0.138,0.45902896,0.5793895
0.7895,0.78115696,0.3274103
0.657,0.67179424,0.2365988
0.1915,0.4432973,0.48015526
0.901,0.87772226,0.13033797
-0.693,0.22375193,0.82447463
0.8685,0.9132244,0.41903833
0.2805,0.27506754,0.24874973
-0.2095,0.5321187,0.96300906
0.5005,0.39990655,0.15492512
0.6775,0.85440975,0.8178983
0.8185,0.7491463,0.08310857
-0.454,0.3729062,0.89070296
0.7535,0.8296473,0.5349065
-0.6585,0.11765619,0.6873227
-1.127,0.097926944,0.94310707
0.692,0.8763929,0.9142519
-0.3165,0.30808234,0.6813265
0.298,0.31677967,0.27864036
0.294,0.7190252,0.9168118
0.5385,0.72159743,0.5791587
-0.197,0.40895697,0.7613206
0.895,0.82997483,0.049781915
0.4855,0.77031153,0.83703846
0.647,0.8068652,0.7131366
-0.8515,0.16596371,0.8757532
0.001,0.58133423,0.90079665
-0.7195,0.19183384,0.7974199
0.673,0.40534967,0.02445765
0.0005,0.3490872,0.5381632
0.0565,0.15968582,0.30661955
0.2025,0.5730565,0.73375964
0.652,0.6842079,0.28905144
-0.3775,0.2918502,0.70741504
0.8715,0.9448129,0.94308466
0.9135,0.89815575,0.13278444
0.2405,0.6184635,0.73996156
-0.553,0.06005856,0.5593188
0.8185,0.7771202,0.16206765
0.3555,0.74721026,0.9806557
-0.677,0.28210315,0.8939975
0.769,0.9043808,0.9325485
0.9335,0.88766116,0.003013371
0.2225,0.22347493,0.25443017
-0.1795,0.1625926,0.44836977
0.9985,0.9973844,0.0013184878
0.7835,0.6231404,0.07737474
-1.1355,0.007783478,0.809086
0.3615,0.54558194,0.41076154
0.4855,0.4624205,0.22610722
0.6585,0.30999723,0.0057519064
-0.46,0.40419748,0.9283654
0.9075,0.88529307,0.18904553
0.0305,0.5274307,0.7915656
0.643,0.590564,0.17034176
-0.0075,0.43175998,0.6394335
-0.13,0.16939339,0.42380098
0.5595,0.581377,0.3092708
-0.5235,0.17775086,0.6961366
0.796,0.68766767,0.055225864
0.8165,0.9237171,0.8353864
0.846,0.8781688,0.45668805
0.06,0.44851544,0.59077936
0.4095,0.4995533,0.38582426
0.7165,0.8905267,0.990064
0.8945,0.87182444,0.15111059
0.4755,0.51306707,0.2692846
0.765,0.80748796,0.31539062
0.405,0.07242074,0.06793509
-0.18,0.4942098,0.89585173
0.6915,0.7337533,0.35181075
-1.2555,0.032287654,0.9335304
0.8535,0.92320305,0.96148056
0.457,0.40283233,0.18981384
-0.5715,0.098158464,0.606535
0.966,0.9369897,0.015366368
0.8545,0.93063456,0.7624505
-0.141,0.3803618,0.66931874
0.7135,0.84186465,0.68033403
0.165,0.56171817,0.6999595
0.3575,0.45126122,0.32079518
0.777,0.7784596,0.32137373
0.914,0.85445976,0.081240915
0.5315,0.48281538,0.24019615
-0.3785,0.37305272,0.7394238
-0.973,0.19707349,0.96012944
0.5965,0.4812117,0.17191388
0.0915,0.5406728,0.69544166
0.378,0.114702396,0.0952831
-0.074,0.43771386,0.68836534
0.5115,0.7145182,0.6183415
-0.3635,0.3625565,0.8179691
0.5155,0.5209983,0.2828484
0.2825,0.68480957,0.9503956
0.203,0.02317937,0.1594018
0.366,0.4402131,0.32005888
-0.4235,0.2959077,0.7820491
0.9825,0.98375565,0.24596089
0.653,0.60852504,0.17171827
0.122,0.6288762,0.8949368
0.9535,0.96454173,0.40021536
0.606,0.4815742,0.10339793
-0.4735,0.4031391,0.98010564
-0.271,0.3928384,0.8008638
-1.02,0.022193335,0.792737
-0.176,0.24821354,0.53346133
-0.2305,0.12756316,0.47257262
0.32,0.71112317,0.9465297
0.549,0.4659083,0.16037491
0.395,0.7431986,0.913204
0.3255,0.18666524,0.13862841
0.612,0.55528283,0.16625507
0.1615,0.5523938,0.7533524
-0.9965,0.08937164,0.8464695
0.138,0.028632956,0.20180161
-1.391,0.01295925,0.9612971
0.0745,0.32741082,0.4539259
-0.77,0.053604625,0.67144495
