Hawk-Dove Simulation on 03-20 22-26-19,
,
1000 iterations took:;114;ms,
Seed used:;10821718,
Average:;-0.19030376,
Min:;-1.29843,
Max:;0.7495,
,
0.073370025,1.685
0.08903998,1.69
0.10481498,1.695
0.12519999,1.7
0.09009998,1.705
0.10816999,1.71
0.113379985,1.715
0.11259999,1.72
0.08687499,1.725
0.12758999,1.73
0.07329,1.735
0.11566,1.74
0.054479998,1.745
0.08325,1.75
0.11867,1.755
0.06492,1.76
0.067710005,1.765
0.06809001,1.77
0.12882501,1.775
0.12216001,1.78
0.13832001,1.785
0.022500016,1.79
0.026475016,1.795
0.12290002,1.8
0.109090015,1.805
0.08361002,1.81
-0.001445023,1.815
0.084279984,1.82
0.05934998,1.825
0.056259982,1.83
0.09356499,1.835
0.031239986,1.84
0.035829987,1.845
0.058299992,1.85
0.029469993,1.855
0.107779995,1.86
0.07091,1.865
0.012699998,1.87
0.058125,1.875
0.007900002,1.88
0.019660003,1.885
0.06276,1.89
0.07240501,1.895
-0.01509999,1.9
0.002360011,1.905
0.059490014,1.91
-0.025339985,1.915
0.050940014,1.92
0.014075018,1.925
0.00402002,1.93
0.03811502,1.935
0.03275998,1.94
0.04112998,1.945
0.03654998,1.95
0.029104983,1.955
0.009119986,1.96
0.048099987,1.965
-0.011040011,1.97
0.04652499,1.975
0.09626,1.98
0.039399996,1.985
0.05704,1.99
-0.042525,1.995
-0.037,2
-0.009895043,2.005
0.07959,2.01
-0.099725045,2.015
-0.035219993,2.02
-0.012925036,2.025
-0.024989989,2.03
-0.036475033,2.035
0.012400014,2.04
-0.10245003,2.045
-0.028399982,2.05
-0.017070025,2.055
-0.03997998,2.06
0.02585998,2.065
-0.06407997,2.07
-0.07877502,2.075
-0.08983997,2.08
-0.06906501,2.085
-0.056649968,2.09
-0.03012501,2.095
-0.025099965,2.1
-0.033165008,2.105
-0.09361996,2.11
-0.06927501,2.115
-0.057979956,2.12
0.00275,2.125
-0.024080042,2.13
-0.071705,2.135
-0.001060037,2.14
-0.11878999,2.145
-0.098950036,2.15
-0.065089986,2.155
-0.061820034,2.16
-0.085859984,2.165
-0.029880028,2.17
-0.051224984,2.175
-0.063320026,2.18
-0.108779974,2.185
-0.02602002,2.19
-0.094099976,2.195
-0.05040002,2.2
-0.13870497,2.205
0.029649988,2.21
-0.13785496,2.215
-0.10670001,2.22
-0.065074965,2.225
-0.069060005,2.23
-0.06350996,2.235
-0.11862,2.24
-0.065659955,2.245
-0.085,2.25
-0.022240039,2.255
-0.12258,2.26
-0.10593504,2.265
-0.08162999,2.27
-0.034850035,2.275
-0.04583999,2.28
-0.14065003,2.285
-0.10674999,2.29
-0.042545028,2.295
-0.06439998,2.3
-0.082215026,2.305
-0.21533997,2.31
-0.14809002,2.315
-0.10789998,2.32
-0.16495001,2.325
-0.16786997,2.33
-0.16565001,2.335
-0.17745997,2.34
-0.13641001,2.345
-0.10774997,2.35
-0.094510004,2.355
-0.08429996,2.36
-0.12059,2.365
-0.18727995,2.37
-0.1135,2.375
-0.18694004,2.38
-0.13583499,2.385
-0.09651004,2.39
-0.178575,2.395
-0.11940003,2.4
-0.12591998,2.405
-0.06263003,2.41
-0.23698999,2.415
-0.14600003,2.42
-0.15202498,2.425
-0.15746002,2.43
-0.20601998,2.435
-0.15312003,2.44
-0.24444497,2.445
-0.15105002,2.45
-0.20317496,2.455
-0.16104001,2.46
-0.25578997,2.465
-0.1966,2.47
-0.09837497,2.475
-0.26248002,2.48
-0.17241997,2.485
-0.29140002,2.49
-0.18162996,2.495
-0.143,2.5
-0.15931004,2.505
-0.15715,2.51
-0.25244004,2.515
-0.21463999,2.52
-0.21700004,2.525
-0.25632,2.53
-0.27000004,2.535
-0.17067999,2.54
-0.24037004,2.545
-0.24334998,2.55
-0.20507002,2.555
-0.20099998,2.56
-0.25028503,2.565
-0.24772997,2.57
-0.14347501,2.575
-0.17805997,2.58
-0.22737502,2.585
-0.23042996,2.59
-0.21184,2.595
-0.22789997,2.6
-0.25192502,2.605
-0.24396996,2.61
-0.29654,2.615
-0.18609996,2.62
-0.19425,2.625
-0.16776004,2.63
-0.27161,2.635
-0.28068003,2.64
-0.307775,2.645
-0.28785002,2.65
-0.26205498,2.655
-0.26862004,2.66
-0.21139999,2.665
-0.21471003,2.67
-0.28572497,2.675
-0.27326003,2.68
-0.30333498,2.685
-0.22578003,2.69
-0.26620996,2.695
-0.3386,2.7
-0.27669498,2.705
-0.25725,2.71
-0.33613998,2.715
-0.29648,2.72
-0.30357495,2.725
-0.32993,2.73
-0.25447997,2.735
-0.22242,2.74
-0.33902997,2.745
-0.28175,2.75
-0.19824004,2.755
-0.35646,2.76
-0.29143503,2.765
-0.19695999,2.77
-0.38642505,2.775
-0.22884,2.78
-0.22260503,2.785
-0.28416997,2.79
-0.32419002,2.795
-0.29079998,2.8
-0.34603503,2.805
-0.20494998,2.81
-0.26616,2.815
-0.29225996,2.82
-0.23555002,2.825
-0.32706997,2.83
-0.32613,2.835
-0.31599995,2.84
-0.32191002,2.845
-0.32949996,2.85
-0.35082,2.855
-0.35323995,2.86
-0.352065,2.865
-0.31163996,2.87
-0.336875,2.875
-0.30872005,2.88
-0.30967999,2.885
-0.35509005,2.89
-0.35630998,2.895
-0.34560004,2.9
-0.35439998,2.905
-0.36344004,2.91
-0.34686998,2.915
-0.34484002,2.92
-0.38547498,2.925
-0.38141003,2.93
-0.30683997,2.935
-0.31660002,2.94
-0.34592998,2.945
-0.261,2.95
-0.24988498,2.955
-0.48356003,2.96
-0.36387497,2.965
-0.33955002,2.97
-0.30607498,2.975
-0.38196,2.98
-0.27577996,2.985
-0.29649,2.99
-0.39259496,2.995
-0.3715,3
-0.42044505,3.005
-0.44744998,3.01
-0.40020004,3.015
-0.43328,3.02
-0.39195004,3.025
-0.45176,3.03
-0.43161502,3.035
-0.4446,3.04
-0.37706003,3.045
-0.38355,3.05
-0.32297003,3.055
-0.25748,3.06
-0.41057003,3.065
-0.41688997,3.07
-0.46082503,3.075
-0.3663,3.08
-0.40529,3.085
-0.38529998,3.09
-0.408625,3.095
-0.44149995,3.1
-0.366405,3.105
-0.37303996,3.11
-0.528075,3.115
-0.33735996,3.12
-0.494375,3.125
-0.48033005,3.13
-0.418355,3.135
-0.46504003,3.14
-0.442955,3.145
-0.42775002,3.15
-0.420505,3.155
-0.38244003,3.16
-0.44186997,3.165
-0.33849004,3.17
-0.446975,3.175
-0.39934003,3.18
-0.48709497,3.185
-0.4672,3.19
-0.43175998,3.195
-0.45090002,3.2
-0.44816998,3.205
-0.5084,3.21
-0.53906995,3.215
-0.44334,3.22
-0.50752497,3.225
-0.44733,3.23
-0.38021997,3.235
-0.38768,3.24
-0.45938495,3.245
-0.4785,3.25
-0.51494,3.255
-0.40584,3.26
-0.50902504,3.265
-0.51522,3.27
-0.45975003,3.275
-0.48777997,3.28
-0.47430503,3.285
-0.51815,3.29
-0.43788004,3.295
-0.48659998,3.3
-0.45674002,3.305
-0.45283997,3.31
-0.54898,3.315
-0.62688,3.32
-0.42420003,3.325
-0.50991,3.33
