Hawk-Dove Simulation on 03-22 21-40-54
Iterations:;10000
Seed used:;8379968
iteration;agentOneScore;agentTwoScore
303;1;-0.70000005
304;0.5;0.5
305;1;-0.70000005
306;1;-0.70000005
307;1;-0.70000005
308;0.5;0.5
309;1;-0.70000005
310;0.5;0.5
311;0.5;0.5
312;1;-0.70000005
313;1;-0.70000005
314;0.5;0.5
315;0.5;0.5
316;1;-0.70000005
317;1;-0.70000005
318;0.5;0.5
319;0.5;0.5
320;1;-0.70000005
321;1;-0.70000005
322;1;-0.70000005
323;0.5;0.5
324;1;-0.70000005
325;1;-0.70000005
326;0.5;0.5
327;1;-0.70000005
328;0.5;0.5
329;0.5;0.5
330;0.5;0.5
331;1;-0.70000005
332;0.5;0.5
333;0.5;0.5
334;0.5;0.5
335;1;-0.70000005
336;1;-0.70000005
337;1;-0.70000005
338;1;-0.70000005
339;0.5;0.5
340;1;-0.70000005
341;0.5;0.5
342;0.5;0.5
343;0.5;0.5
344;1;-0.70000005
345;0.5;0.5
346;0.5;0.5
347;1;-0.70000005
348;0.5;0.5
349;0.5;0.5
350;1;-0.70000005
351;0.5;0.5
352;1;-0.70000005
353;1;-0.70000005
354;1;-0.70000005
355;1;-0.70000005
356;1;-0.70000005
357;0.5;0.5
358;1;-0.70000005
359;0.5;0.5
360;1;-0.70000005
361;1;-0.70000005
362;1;-0.70000005
363;0.5;0.5
364;1;-0.70000005
365;1;-0.70000005
366;0.5;0.5
367;1;-0.70000005
368;0.5;0.5
369;1;-0.70000005
370;1;-0.70000005
371;1;-0.70000005
372;0.5;0.5
373;0.5;0.5
374;0.5;0.5
375;0.5;0.5
376;1;-0.70000005
377;1;-0.70000005
378;0.5;0.5
379;0.5;0.5
380;1;-0.70000005
381;1;-0.70000005
382;1;-0.70000005
383;0.5;0.5
384;1;-0.70000005
385;1;-0.70000005
386;1;-0.70000005
387;1;-0.70000005
388;0.5;0.5
389;0.5;0.5
390;1;-0.70000005
391;1;-0.70000005
392;1;-0.70000005
393;0.5;0.5
394;1;-0.70000005
395;0.5;0.5
396;0.5;0.5
397;1;-0.70000005
398;0.5;0.5
399;1;-0.70000005
400;0.5;0.5
401;0.5;0.5
402;0.5;0.5
403;0.5;0.5
404;1;-0.70000005
405;1;-0.70000005
406;0.5;0.5
407;1;-0.70000005
408;1;-0.70000005
409;1;-0.70000005
410;1;-0.70000005
411;0.5;0.5
412;0.5;0.5
413;1;-0.70000005
414;0.5;0.5
415;1;-0.70000005
416;1;-0.70000005
417;1;-0.70000005
418;0.5;0.5
419;1;-0.70000005
420;1;-0.70000005
421;0.5;0.5
422;0.5;0.5
423;0.5;0.5
424;1;-0.70000005
425;0.5;0.5
426;0.5;0.5
427;1;-0.70000005
428;0.5;0.5
429;1;-0.70000005
430;1;-0.70000005
431;1;-0.70000005
432;1;-0.70000005
433;1;-0.70000005
434;1;-0.70000005
435;1;-0.70000005
436;0.5;0.5
437;1;-0.70000005
438;1;-0.70000005
439;0.5;0.5
440;1;-0.70000005
441;1;-0.70000005
442;0.5;0.5
443;1;-0.70000005
444;1;-0.70000005
445;1;-0.70000005
446;0.5;0.5
447;0.5;0.5
448;1;-0.70000005
449;1;-0.70000005
450;0.5;0.5
451;0.5;0.5
452;1;-0.70000005
453;1;-0.70000005
454;1;-0.70000005
455;0.5;0.5
456;0.5;0.5
457;0.5;0.5
458;0.5;0.5
459;0.5;0.5
460;0.5;0.5
461;1;-0.70000005
462;0.5;0.5
463;1;-0.70000005
464;0.5;0.5
465;1;-0.70000005
466;1;-0.70000005
467;0.5;0.5
468;0.5;0.5
469;0.5;0.5
470;0.5;0.5
471;0.5;0.5
472;1;-0.70000005
473;1;-0.70000005
474;0.5;0.5
475;1;-0.70000005
476;0.5;0.5
477;0.5;0.5
478;0.5;0.5
479;0.5;0.5
480;1;-0.70000005
481;0.5;0.5
482;0.5;0.5
483;1;-0.70000005
484;1;-0.70000005
485;0.5;0.5
486;0.5;0.5
487;1;-0.70000005
488;0.5;0.5
489;1;-0.70000005
490;0.5;0.5
491;1;-0.70000005
492;0.5;0.5
493;0.5;0.5
494;0.5;0.5
495;0.5;0.5
496;1;-0.70000005
497;0.5;0.5
498;1;-0.70000005
499;1;-0.70000005
500;0.5;0.5
501;1;-0.70000005
502;0.5;0.5
503;1;-0.70000005
504;0.5;0.5
505;0.5;0.5
506;0.5;0.5
507;1;-0.70000005
508;0.5;0.5
509;1;-0.70000005
510;1;-0.70000005
511;1;-0.70000005
512;0.5;0.5
513;0.5;0.5
514;1;-0.70000005
515;1;-0.70000005
516;1;-0.70000005
517;1;-0.70000005
518;1;-0.70000005
519;0.5;0.5
520;1;-0.70000005
521;0.5;0.5
522;0.5;0.5
523;0.5;0.5
524;0.5;0.5
525;0.5;0.5
526;1;-0.70000005
527;1;-0.70000005
528;1;-0.70000005
529;1;-0.70000005
530;1;-0.70000005
531;0.5;0.5
532;1;-0.70000005
533;0.5;0.5
534;1;-0.70000005
535;0.5;0.5
536;0.5;0.5
537;1;-0.70000005
538;1;-0.70000005
539;1;-0.70000005
540;0.5;0.5
541;1;-0.70000005
542;0.5;0.5
543;1;-0.70000005
544;1;-0.70000005
545;1;-0.70000005
546;1;-0.70000005
547;0.5;0.5
548;0.5;0.5
549;0.5;0.5
550;0.5;0.5
551;0.5;0.5
552;1;-0.70000005
553;0.5;0.5
554;0.5;0.5
555;1;-0.70000005
556;1;-0.70000005
557;1;-0.70000005
558;1;-0.70000005
559;1;-0.70000005
560;0.5;0.5
561;1;-0.70000005
562;0.5;0.5
563;1;-0.70000005
564;0.5;0.5
565;0.5;0.5
566;1;-0.70000005
567;0.5;0.5
568;1;-0.70000005
569;1;-0.70000005
570;0.5;0.5
571;0.5;0.5
572;1;-0.70000005
573;1;-0.70000005
574;1;-0.70000005
575;0.5;0.5
576;1;-0.70000005
577;0.5;0.5
578;1;-0.70000005
579;1;-0.70000005
580;0.5;0.5
581;0.5;0.5
582;1;-0.70000005
583;0.5;0.5
584;0.5;0.5
585;0.5;0.5
586;1;-0.70000005
587;1;-0.70000005
588;0.5;0.5
589;0.5;0.5
590;1;-0.70000005
591;1;-0.70000005
592;0.5;0.5
593;1;-0.70000005
594;1;-0.70000005
595;1;-0.70000005
596;1;-0.70000005
597;0.5;0.5
598;0.5;0.5
599;0.5;0.5
600;0.5;0.5
601;0.5;0.5
602;0.5;0.5
603;1;-0.70000005
604;1;-0.70000005
605;1;-0.70000005
606;1;-0.70000005
607;1;-0.70000005
608;1;-0.70000005
609;1;-0.70000005
610;0.5;0.5
611;1;-0.70000005
612;1;-0.70000005
613;0.5;0.5
614;1;-0.70000005
615;0.5;0.5
616;0.5;0.5
617;0.5;0.5
618;0.5;0.5
619;0.5;0.5
620;0.5;0.5
621;1;-0.70000005
622;0.5;0.5
623;0.5;0.5
624;1;-0.70000005
625;0.5;0.5
626;0.5;0.5
627;1;-0.70000005
628;1;-0.70000005
629;1;-0.70000005
630;0.5;0.5
631;1;-0.70000005
632;0.5;0.5
633;1;-0.70000005
634;1;-0.70000005
635;1;-0.70000005
636;0.5;0.5
637;0.5;0.5
638;0.5;0.5
639;0.5;0.5
640;1;-0.70000005
641;1;-0.70000005
642;1;-0.70000005
643;1;-0.70000005
644;1;-0.70000005
645;0.5;0.5
646;1;-0.70000005
647;0.5;0.5
648;1;-0.70000005
649;0.5;0.5
650;0.5;0.5
651;1;-0.70000005
652;1;-0.70000005
653;1;-0.70000005
654;1;-0.70000005
655;1;-0.70000005
656;1;-0.70000005
657;0.5;0.5
658;1;-0.70000005
659;0.5;0.5
660;1;-0.70000005
661;0.5;0.5
662;1;-0.70000005
663;1;-0.70000005
664;1;-0.70000005
665;1;-0.70000005
666;0.5;0.5
667;1;-0.70000005
668;1;-0.70000005
669;1;-0.70000005
670;0.5;0.5
671;1;-0.70000005
672;1;-0.70000005
673;0.5;0.5
674;0.5;0.5
675;0.5;0.5
676;1;-0.70000005
677;1;-0.70000005
678;0.5;0.5
679;0.5;0.5
680;1;-0.70000005
681;1;-0.70000005
682;0.5;0.5
683;0.5;0.5
684;0.5;0.5
685;1;-0.70000005
686;1;-0.70000005
687;1;-0.70000005
688;1;-0.70000005
689;0.5;0.5
690;0.5;0.5
691;0.5;0.5
692;0.5;0.5
693;1;-0.70000005
694;0.5;0.5
695;0.5;0.5
696;0.5;0.5
697;0.5;0.5
698;1;-0.70000005
699;1;-0.70000005
700;0.5;0.5
701;0.5;0.5
702;0.5;0.5
703;1;-0.70000005
704;0.5;0.5
705;1;-0.70000005
706;0.5;0.5
707;1;-0.70000005
708;1;-0.70000005
709;0.5;0.5
710;1;-0.70000005
711;1;-0.70000005
712;0.5;0.5
713;1;-0.70000005
714;1;-0.70000005
715;1;-0.70000005
716;0.5;0.5
717;0.5;0.5
718;0.5;0.5
719;1;-0.70000005
720;0.5;0.5
721;1;-0.70000005
722;1;-0.70000005
723;0.5;0.5
724;0.5;0.5
725;0.5;0.5
726;1;-0.70000005
727;0.5;0.5
728;1;-0.70000005
729;1;-0.70000005
730;0.5;0.5
731;0.5;0.5
732;0.5;0.5
733;1;-0.70000005
734;1;-0.70000005
735;0.5;0.5
736;0.5;0.5
737;1;-0.70000005
738;0.5;0.5
739;1;-0.70000005
740;0.5;0.5
741;0.5;0.5
742;0.5;0.5
743;0.5;0.5
744;1;-0.70000005
745;0.5;0.5
746;1;-0.70000005
747;0.5;0.5
748;1;-0.70000005
749;0.5;0.5
750;0.5;0.5
751;0.5;0.5
752;1;-0.70000005
753;0.5;0.5
754;0.5;0.5
755;1;-0.70000005
756;0.5;0.5
757;0.5;0.5
758;0.5;0.5
759;0.5;0.5
760;1;-0.70000005
761;1;-0.70000005
762;1;-0.70000005
763;0.5;0.5
764;1;-0.70000005
765;0.5;0.5
766;1;-0.70000005
767;1;-0.70000005
768;0.5;0.5
769;0.5;0.5
770;0.5;0.5
771;0.5;0.5
772;1;-0.70000005
773;0.5;0.5
774;1;-0.70000005
775;0.5;0.5
776;0.5;0.5
777;1;-0.70000005
778;0.5;0.5
779;1;-0.70000005
780;1;-0.70000005
781;1;-0.70000005
782;0.5;0.5
783;0.5;0.5
784;0.5;0.5
785;1;-0.70000005
786;1;-0.70000005
787;0.5;0.5
788;0.5;0.5
789;0.5;0.5
790;1;-0.70000005
791;1;-0.70000005
792;1;-0.70000005
793;0.5;0.5
794;0.5;0.5
795;0.5;0.5
796;0.5;0.5
797;1;-0.70000005
798;1;-0.70000005
799;0.5;0.5
800;1;-0.70000005
801;1;-0.70000005
802;0.5;0.5
803;1;-0.70000005
804;1;-0.70000005
805;0.5;0.5
806;0.5;0.5
807;0.5;0.5
808;0.5;0.5
809;0.5;0.5
810;0.5;0.5
811;0.5;0.5
812;1;-0.70000005
813;0.5;0.5
814;0.5;0.5
815;0.5;0.5
816;1;-0.70000005
817;1;-0.70000005
818;1;-0.70000005
819;1;-0.70000005
820;1;-0.70000005
821;0.5;0.5
822;0.5;0.5
823;1;-0.70000005
824;0.5;0.5
825;0.5;0.5
826;1;-0.70000005
827;0.5;0.5
828;1;-0.70000005
829;1;-0.70000005
830;1;-0.70000005
831;0.5;0.5
832;1;-0.70000005
833;0.5;0.5
834;1;-0.70000005
835;1;-0.70000005
836;1;-0.70000005
837;0.5;0.5
838;1;-0.70000005
839;1;-0.70000005
840;0.5;0.5
841;1;-0.70000005
842;1;-0.70000005
843;0.5;0.5
844;1;-0.70000005
845;0.5;0.5
846;0.5;0.5
847;0.5;0.5
848;1;-0.70000005
849;0.5;0.5
850;1;-0.70000005
851;0.5;0.5
852;1;-0.70000005
853;0.5;0.5
854;1;-0.70000005
855;0.5;0.5
856;0.5;0.5
857;1;-0.70000005
858;1;-0.70000005
859;1;-0.70000005
860;1;-0.70000005
861;0.5;0.5
862;1;-0.70000005
863;1;-0.70000005
864;0.5;0.5
865;1;-0.70000005
866;0.5;0.5
867;0.5;0.5
868;0.5;0.5
869;1;-0.70000005
870;1;-0.70000005
871;0.5;0.5
872;0.5;0.5
873;0.5;0.5
874;0.5;0.5
875;0.5;0.5
876;1;-0.70000005
877;0.5;0.5
878;0.5;0.5
879;0.5;0.5
880;0.5;0.5
881;1;-0.70000005
882;1;-0.70000005
883;0.5;0.5
884;0.5;0.5
885;1;-0.70000005
886;0.5;0.5
887;1;-0.70000005
888;1;-0.70000005
889;0.5;0.5
890;0.5;0.5
891;1;-0.70000005
892;1;-0.70000005
893;1;-0.70000005
894;0.5;0.5
895;0.5;0.5
896;0.5;0.5
897;0.5;0.5
898;1;-0.70000005
899;0.5;0.5
900;0.5;0.5
901;0.5;0.5
902;0.5;0.5
903;1;-0.70000005
904;1;-0.70000005
905;0.5;0.5
